student_id,total_sessions,sessions_attended
S001,100,78
S002,100,82
S003,100,85
S004,100,97
S005,100,99
S006,100,96
S007,100,91
S008,100,89
S009,100,93
S010,100,95
S011,100,78
S012,100,82
S013,100,85
S014,100,97
S015,100,99
S016,100,96
S017,100,91
S018,100,89
S019,100,93
S020,100,95
S021,100,78
S022,100,82
S023,100,85
S024,100,97
S025,100,99
S026,100,96
S027,100,91
S028,100,89
S029,100,93
S030,100,95
S031,100,78
S032,100,82
S033,100,85
S034,100,97
S035,100,99
S036,100,96
S037,100,91
S038,100,89
S039,100,93
S040,100,95
S041,100,78
S042,100,82
S043,100,85
S044,100,97
S045,100,99
S046,100,96
S047,100,91
S048,100,89
S049,100,93
S050,100,95
S051,100,78
S052,100,82
S053,100,85
S054,100,97
S055,100,99
S056,100,96
S057,100,91
S058,100,89
S059,100,93
S060,100,95
S061,100,78
S062,100,82
S063,100,85
S064,100,97
S065,100,99
S066,100,96
S067,100,91
S068,100,89
S069,100,93
S070,100,95
S071,100,78
S072,100,82
S073,100,85
S074,100,97
S075,100,99
S076,100,96
S077,100,91
S078,100,89
S079,100,93
S080,100,95
S081,100,78
S082,100,82
S083,100,85
S084,100,97
S085,100,99
S086,100,96
S087,100,91
S088,100,89
S089,100,93
S090,100,95
S091,100,78
S092,100,82
S093,100,85
S094,100,97
S095,100,99
S096,100,96
S097,100,91
S098,100,89
S099,100,93
S100,100,95
