student_id,behaviour_incidents
S001,6
S002,5
S003,4
S004,0
S005,1
S006,0
S007,2
S008,3
S009,2
S010,1
S011,6
S012,5
S013,4
S014,0
S015,1
S016,0
S017,2
S018,3
S019,2
S020,1
S021,6
S022,5
S023,4
S024,0
S025,1
S026,0
S027,2
S028,3
S029,2
S030,1
S031,6
S032,5
S033,4
S034,0
S035,1
S036,0
S037,2
S038,3
S039,2
S040,1
S041,6
S042,5
S043,4
S044,0
S045,1
S046,0
S047,2
S048,3
S049,2
S050,1
S051,6
S052,5
S053,4
S054,0
S055,1
S056,0
S057,2
S058,3
S059,2
S060,1
S061,6
S062,5
S063,4
S064,0
S065,1
S066,0
S067,2
S068,3
S069,2
S070,1
S071,6
S072,5
S073,4
S074,0
S075,1
S076,0
S077,2
S078,3
S079,2
S080,1
S081,6
S082,5
S083,4
S084,0
S085,1
S086,0
S087,2
S088,3
S089,2
S090,1
S091,6
S092,5
S093,4
S094,0
S095,1
S096,0
S097,2
S098,3
S099,2
S100,1
