class_id,student_id
C001,S001
C001,S002
C001,S003
C001,S004
C001,S005
C001,S006
C001,S007
C001,S008
C001,S009
C001,S010
C002,S011
C002,S012
C002,S013
C002,S014
C002,S015
C002,S016
C002,S017
C002,S018
C002,S019
C002,S020
C003,S001
C003,S002
C003,S003
C003,S004
C003,S005
C003,S006
C003,S007
C003,S008
C003,S009
C003,S010
C004,S011
C004,S012
C004,S013
C004,S014
C004,S015
C004,S016
C004,S017
C004,S018
C004,S019
C004,S020
C005,S001
C005,S002
C005,S003
C005,S004
C005,S005
C005,S006
C005,S007
C005,S008
C005,S009
C005,S010
C006,S011
C006,S012
C006,S013
C006,S014
C006,S015
C006,S016
C006,S017
C006,S018
C006,S019
C006,S020
C007,S001
C007,S002
C007,S003
C007,S004
C007,S005
C007,S006
C007,S007
C007,S008
C007,S009
C007,S010
C008,S011
C008,S012
C008,S013
C008,S014
C008,S015
C008,S016
C008,S017
C008,S018
C008,S019
C008,S020
C009,S001
C009,S002
C009,S003
C009,S004
C009,S005
C009,S006
C009,S007
C009,S008
C009,S009
C009,S010
C010,S011
C010,S012
C010,S013
C010,S014
C010,S015
C010,S016
C010,S017
C010,S018
C010,S019
C010,S020
C011,S021
C011,S022
C011,S023
C011,S024
C011,S025
C011,S026
C011,S027
C011,S028
C011,S029
C011,S030
C012,S031
C012,S032
C012,S033
C012,S034
C012,S035
C012,S036
C012,S037
C012,S038
C012,S039
C012,S040
C013,S021
C013,S022
C013,S023
C013,S024
C013,S025
C013,S026
C013,S027
C013,S028
C013,S029
C013,S030
C014,S031
C014,S032
C014,S033
C014,S034
C014,S035
C014,S036
C014,S037
C014,S038
C014,S039
C014,S040
C015,S021
C015,S022
C015,S023
C015,S024
C015,S025
C015,S026
C015,S027
C015,S028
C015,S029
C015,S030
C016,S031
C016,S032
C016,S033
C016,S034
C016,S035
C016,S036
C016,S037
C016,S038
C016,S039
C016,S040
C017,S021
C017,S022
C017,S023
C017,S024
C017,S025
C017,S026
C017,S027
C017,S028
C017,S029
C017,S030
C018,S031
C018,S032
C018,S033
C018,S034
C018,S035
C018,S036
C018,S037
C018,S038
C018,S039
C018,S040
C019,S021
C019,S022
C019,S023
C019,S024
C019,S025
C019,S026
C019,S027
C019,S028
C019,S029
C019,S030
C020,S031
C020,S032
C020,S033
C020,S034
C020,S035
C020,S036
C020,S037
C020,S038
C020,S039
C020,S040
C021,S041
C021,S042
C021,S043
C021,S044
C021,S045
C021,S046
C021,S047
C021,S048
C021,S049
C021,S050
C022,S051
C022,S052
C022,S053
C022,S054
C022,S055
C022,S056
C022,S057
C022,S058
C022,S059
C022,S060
C023,S041
C023,S042
C023,S043
C023,S044
C023,S045
C023,S046
C023,S047
C023,S048
C023,S049
C023,S050
C024,S051
C024,S052
C024,S053
C024,S054
C024,S055
C024,S056
C024,S057
C024,S058
C024,S059
C024,S060
C025,S041
C025,S042
C025,S043
C025,S044
C025,S045
C025,S046
C025,S047
C025,S048
C025,S049
C025,S050
C026,S051
C026,S052
C026,S053
C026,S054
C026,S055
C026,S056
C026,S057
C026,S058
C026,S059
C026,S060
C027,S041
C027,S042
C027,S043
C027,S044
C027,S045
C027,S046
C027,S047
C027,S048
C027,S049
C027,S050
C028,S051
C028,S052
C028,S053
C028,S054
C028,S055
C028,S056
C028,S057
C028,S058
C028,S059
C028,S060
C029,S041
C029,S042
C029,S043
C029,S044
C029,S045
C029,S046
C029,S047
C029,S048
C029,S049
C029,S050
C030,S051
C030,S052
C030,S053
C030,S054
C030,S055
C030,S056
C030,S057
C030,S058
C030,S059
C030,S060
C031,S061
C031,S062
C031,S063
C031,S064
C031,S065
C031,S066
C031,S067
C031,S068
C031,S069
C031,S070
C032,S071
C032,S072
C032,S073
C032,S074
C032,S075
C032,S076
C032,S077
C032,S078
C032,S079
C032,S080
C033,S061
C033,S062
C033,S063
C033,S064
C033,S065
C033,S066
C033,S067
C033,S068
C033,S069
C033,S070
C034,S071
C034,S072
C034,S073
C034,S074
C034,S075
C034,S076
C034,S077
C034,S078
C034,S079
C034,S080
C035,S061
C035,S062
C035,S063
C035,S064
C035,S065
C035,S066
C035,S067
C035,S068
C035,S069
C035,S070
C036,S071
C036,S072
C036,S073
C036,S074
C036,S075
C036,S076
C036,S077
C036,S078
C036,S079
C036,S080
C037,S061
C037,S062
C037,S063
C037,S064
C037,S065
C037,S066
C037,S067
C037,S068
C037,S069
C037,S070
C038,S071
C038,S072
C038,S073
C038,S074
C038,S075
C038,S076
C038,S077
C038,S078
C038,S079
C038,S080
C039,S061
C039,S062
C039,S063
C039,S064
C039,S065
C039,S066
C039,S067
C039,S068
C039,S069
C039,S070
C040,S071
C040,S072
C040,S073
C040,S074
C040,S075
C040,S076
C040,S077
C040,S078
C040,S079
C040,S080
C041,S081
C041,S082
C041,S083
C041,S084
C041,S085
C041,S086
C041,S087
C041,S088
C041,S089
C041,S090
C042,S091
C042,S092
C042,S093
C042,S094
C042,S095
C042,S096
C042,S097
C042,S098
C042,S099
C042,S100
C043,S081
C043,S082
C043,S083
C043,S084
C043,S085
C043,S086
C043,S087
C043,S088
C043,S089
C043,S090
C044,S091
C044,S092
C044,S093
C044,S094
C044,S095
C044,S096
C044,S097
C044,S098
C044,S099
C044,S100
C045,S081
C045,S082
C045,S083
C045,S084
C045,S085
C045,S086
C045,S087
C045,S088
C045,S089
C045,S090
C046,S091
C046,S092
C046,S093
C046,S094
C046,S095
C046,S096
C046,S097
C046,S098
C046,S099
C046,S100
C047,S081
C047,S082
C047,S083
C047,S084
C047,S085
C047,S086
C047,S087
C047,S088
C047,S089
C047,S090
C048,S091
C048,S092
C048,S093
C048,S094
C048,S095
C048,S096
C048,S097
C048,S098
C048,S099
C048,S100
C049,S081
C049,S082
C049,S083
C049,S084
C049,S085
C049,S086
C049,S087
C049,S088
C049,S089
C049,S090
C050,S091
C050,S092
C050,S093
C050,S094
C050,S095
C050,S096
C050,S097
C050,S098
C050,S099
C050,S100
