class_id,class_name,subject_id,year_group
C001,7A Maths,SUB001,7
C002,7B Maths,SUB001,7
C003,7A English,SUB002,7
C004,7B English,SUB002,7
C005,7A Science,SUB003,7
C006,7B Science,SUB003,7
C007,7A History,SUB004,7
C008,7B History,SUB004,7
C009,7A Geography,SUB005,7
C010,7B Geography,SUB005,7
C011,8A Maths,SUB001,8
C012,8B Maths,SUB001,8
C013,8A English,SUB002,8
C014,8B English,SUB002,8
C015,8A Science,SUB003,8
C016,8B Science,SUB003,8
C017,8A History,SUB004,8
C018,8B History,SUB004,8
C019,8A Geography,SUB005,8
C020,8B Geography,SUB005,8
C021,9A Maths,SUB001,9
C022,9B Maths,SUB001,9
C023,9A English,SUB002,9
C024,9B English,SUB002,9
C025,9A Science,SUB003,9
C026,9B Science,SUB003,9
C027,9A History,SUB004,9
C028,9B History,SUB004,9
C029,9A Geography,SUB005,9
C030,9B Geography,SUB005,9
C031,10A Maths,SUB001,10
C032,10B Maths,SUB001,10
C033,10A English,SUB002,10
C034,10B English,SUB002,10
C035,10A Science,SUB003,10
C036,10B Science,SUB003,10
C037,10A History,SUB004,10
C038,10B History,SUB004,10
C039,10A Geography,SUB005,10
C040,10B Geography,SUB005,10
C041,11A Maths,SUB001,11
C042,11B Maths,SUB001,11
C043,11A English,SUB002,11
C044,11B English,SUB002,11
C045,11A Science,SUB003,11
C046,11B Science,SUB003,11
C047,11A History,SUB004,11
C048,11B History,SUB004,11
C049,11A Geography,SUB005,11
C050,11B Geography,SUB005,11
