student_id,homework_completion
S001,35
S002,42
S003,50
S004,95
S005,92
S006,88
S007,70
S008,64
S009,75
S010,80
S011,35
S012,42
S013,50
S014,95
S015,92
S016,88
S017,70
S018,64
S019,75
S020,80
S021,35
S022,42
S023,50
S024,95
S025,92
S026,88
S027,70
S028,64
S029,75
S030,80
S031,35
S032,42
S033,50
S034,95
S035,92
S036,88
S037,70
S038,64
S039,75
S040,80
S041,35
S042,42
S043,50
S044,95
S045,92
S046,88
S047,70
S048,64
S049,75
S050,80
S051,35
S052,42
S053,50
S054,95
S055,92
S056,88
S057,70
S058,64
S059,75
S060,80
S061,35
S062,42
S063,50
S064,95
S065,92
S066,88
S067,70
S068,64
S069,75
S070,80
S071,35
S072,42
S073,50
S074,95
S075,92
S076,88
S077,70
S078,64
S079,75
S080,80
S081,35
S082,42
S083,50
S084,95
S085,92
S086,88
S087,70
S088,64
S089,75
S090,80
S091,35
S092,42
S093,50
S094,95
S095,92
S096,88
S097,70
S098,64
S099,75
S100,80
