class_id,class_name,subject_id,year_group
C002,7A Maths,SUB001,7
C003,7A English,SUB002,7
C004,7A Science,SUB003,7
C005,7A History,SUB004,7
C006,7A Geography,SUB005,7
C007,7B Maths,SUB001,7
C008,7B English,SUB002,7
C009,7B Science,SUB003,7
C010,7B History,SUB004,7
C011,7B Geography,SUB005,7
C012,8A Maths,SUB001,8
C013,8A English,SUB002,8
C014,8A Science,SUB003,8
C015,8A History,SUB004,8
C016,8A Geography,SUB005,8
C017,8B Maths,SUB001,8
C018,8B English,SUB002,8
C019,8B Science,SUB003,8
C020,8B History,SUB004,8
C021,8B Geography,SUB005,8
C022,9A Maths,SUB001,9
C023,9A English,SUB002,9
C024,9A Science,SUB003,9
C025,9A History,SUB004,9
C026,9A Geography,SUB005,9
C027,9B Maths,SUB001,9
C028,9B English,SUB002,9
C029,9B Science,SUB003,9
C030,9B History,SUB004,9
C031,9B Geography,SUB005,9
C032,10A Maths,SUB001,10
C033,10A English,SUB002,10
C034,10A Science,SUB003,10
C035,10A History,SUB004,10
C036,10A Geography,SUB005,10
C037,10B Maths,SUB001,10
C038,10B English,SUB002,10
C039,10B Science,SUB003,10
C040,10B History,SUB004,10
C041,10B Geography,SUB005,10
C042,11A Maths,SUB001,11
C043,11A English,SUB002,11
C044,11A Science,SUB003,11
C045,11A History,SUB004,11
C046,11A Geography,SUB005,11
C047,11B Maths,SUB001,11
C048,11B English,SUB002,11
C049,11B Science,SUB003,11
C050,11B History,SUB004,11
C051,11B Geography,SUB005,11
